vxr-prod-rundeck_8500.rvd[D89JQVVOma3s4wsNPuTV2A]@vxr-prod-rundeck[1]> adj                                                                   
            user            |              adj            |            tport          | type |  cost
----------------------------+-----------------------------+---------------------------+------+------
    vxr-prod-rundeck_8500.* |                             |                     ipc.0 |  ipc |  1000
                            |                             |                  a_mesh.1 | mesh |   100
                            |      vxr-prod-oms01_8500.33 |                  a_mesh.2 | mesh |   100
                            |      vxr-prod-oms02_8500.28 |                  a_mesh.3 | mesh |   100
                            |       vxr-prod-oms03_8500.1 |                  a_mesh.4 | mesh |   100
                            |      vxr-prod-oms04_8500.32 |                  a_mesh.5 | mesh |   100
                            |      vxr-prod-tsm01_8500.23 |                  a_mesh.6 | mesh |   100
                            |      vxr-prod-tsm02_8500.29 |                  a_mesh.7 | mesh |   100
                            |       vxr-prod-qs01_8500.22 |                  a_mesh.8 | mesh |   100
                            |       vxr-prod-qs02_8500.19 |                  a_mesh.9 | mesh |   100
                            |                             |                 b_mesh.10 | mesh |  1000
                            |      vxr-prod-oms01_8500.33 |                 b_mesh.11 | mesh |  1000
                            |      vxr-prod-oms02_8500.28 |                 b_mesh.12 | mesh |  1000
                            |       vxr-prod-oms03_8500.1 |                 b_mesh.13 | mesh |  1000
                            |      vxr-prod-oms04_8500.32 |                 b_mesh.14 | mesh |  1000
                            |      vxr-prod-tsm01_8500.23 |                 b_mesh.15 | mesh |  1000
                            |      vxr-prod-tsm02_8500.29 |                 b_mesh.16 | mesh |  1000
                            |       vxr-prod-qs01_8500.22 |                 b_mesh.17 | mesh |  1000
                            |       vxr-prod-qs02_8500.19 |                 b_mesh.18 | mesh |  1000
                            |                             |                 c_mesh.19 | mesh |  1000
                            |      vxr-prod-oms01_8500.33 |                 c_mesh.20 | mesh |  1000
                            |      vxr-prod-oms02_8500.28 |                 c_mesh.21 | mesh |  1000
                            |       vxr-prod-oms03_8500.1 |                 c_mesh.22 | mesh |  1000
                            |      vxr-prod-oms04_8500.32 |                 c_mesh.23 | mesh |  1000
                            |      vxr-prod-tsm01_8500.23 |                 c_mesh.24 | mesh |  1000
                            |      vxr-prod-tsm02_8500.29 |                 c_mesh.25 | mesh |  1000
                            |       vxr-prod-qs01_8500.22 |                 c_mesh.26 | mesh |  1000
                            |       vxr-prod-qs02_8500.19 |                 c_mesh.27 | mesh |  1000
                            |                             |                 d_mesh.28 | mesh |  1000
